agent_ID,neighb_code,age,sex,migrationbackground,hh_single,ischild,havechild,current_education,absolved_education,BMI,employed,edu_int,car_access,bike_habit,car_habit,transit_habit,incomeclass_int,SchedID,sex_male,Western,Non_Western,Dutch,HH_size,Nrchildren,student,EV_access2020,EV_access2025,EV_access2030
Agent_452208,BU03635400,0,female,Dutch,0,1,0,no_current_edu,0,0,1,1,0,0,0,0,10,SchedBaby_0,0,0,0,1,2,0,0,0,0,0
Agent_448369,BU03635300,49,female,Dutch,0,0,0,no_current_edu,middle,moderate_overweight,1,2,0,1,1,1,2,Sched49_18,0,0,0,1,2,0,0,0,0,0
Agent_726469,BU03638604,51,female,Non-Western,0,0,1,no_current_edu,low,normal_weight,1,1,1,1,0,0,5,Sched53_27,0,0,1,0,3,2,0,0,0,1
Agent_123321,BU03631601,30,male,Non-Western,0,0,0,no_current_edu,low,normal_weight,1,1,1,1,1,0,8,Sched89_47,1,0,1,0,2,0,0,0,0,0
Agent_674424,BU03638201,45,male,Non-Western,0,0,1,no_current_edu,middle,normal_weight,1,2,1,1,0,0,10,Sched61_52,1,0,1,0,3,2,0,0,1,1
Agent_862432,BU03639606,61,male,Non-Western,0,0,0,no_current_edu,low,normal_weight,1,1,1,1,1,0,2,Sched57_142,1,0,1,0,3,0,0,0,0,0
Agent_307142,BU03633702,89,female,Western,0,0,1,no_current_edu,middle,moderate_overweight,1,2,1,0,0,0,3,Sched37_51,0,1,0,0,3,1,0,0,0,1
Agent_792161,BU03639301,4,male,Non-Western,0,1,0,no_current_edu,0,normal_weight,0,1,0,0,0,1,1,SchedChild_0,1,0,1,0,2,0,0,0,0,0
Agent_240403,BU03633100,43,female,Dutch,0,0,1,no_current_edu,high,normal_weight,1,3,0,1,1,1,10,Sched69_9,0,0,0,1,2,1,0,0,0,0
Agent_219220,BU03632900,6,female,Western,0,1,0,low,0,moderate_overweight,1,1,0,0,0,0,9,SchedChild_0,0,1,0,0,4,0,0,0,0,0
Agent_813967,BU03639401,1,male,Non-Western,0,1,0,no_current_edu,0,0,0,1,0,1,0,1,1,SchedBaby_0,1,0,1,0,3,0,0,0,0,0
Agent_489991,BU03635700,29,male,Non-Western,1,0,0,no_current_edu,high,normal_weight,1,3,1,1,1,1,8,Sched89_23,1,0,1,0,1,0,0,0,1,1
Agent_741384,BU03638804,20,female,Non-Western,0,0,1,high,middle,normal_weight,1,2,1,1,1,1,10,Sched4_5,0,0,1,0,2,1,1,0,0,1
Agent_444000,BU03635203,56,female,Dutch,0,0,0,no_current_edu,middle,moderate_overweight,1,2,0,1,0,1,9,Sched49_20,0,0,0,1,4,0,0,0,0,0
Agent_863990,BU03639700,38,male,Non-Western,1,0,0,no_current_edu,middle,underweight,1,2,1,0,1,0,5,Sched73_13,1,0,1,0,1,0,0,0,0,1
Agent_709122,BU03638501,40,female,Dutch,0,0,1,no_current_edu,high,moderate_overweight,0,3,0,1,0,1,1,Sched71_2,0,0,0,1,6,4,0,0,0,0
Agent_1296,BU03630001,40,female,Dutch,1,0,0,no_current_edu,middle,obese,1,2,0,1,0,0,5,Sched65_2,0,0,0,1,1,0,0,0,0,0
Agent_323733,BU03633802,49,male,Dutch,0,0,1,no_current_edu,middle,moderate_overweight,1,2,1,1,1,0,9,Sched61_24,1,0,0,1,2,1,0,0,1,1
Agent_455757,BU03635401,40,male,Dutch,1,0,0,no_current_edu,middle,moderate_overweight,0,2,1,0,1,0,1,Sched75_1,1,0,0,1,1,0,0,0,0,1
Agent_104199,BU03631400,73,female,Dutch,0,0,0,no_current_edu,middle,moderate_overweight,1,2,0,1,1,1,4,Sched33_0,0,0,0,1,4,0,0,0,0,0
Agent_842708,BU03639500,32,male,Non-Western,1,0,0,no_current_edu,middle,normal_weight,1,2,1,1,1,0,5,Sched89_16,1,0,1,0,1,0,0,0,0,1
Agent_669045,BU03638200,9,female,Dutch,0,1,0,low,0,normal_weight,0,1,0,1,0,1,1,SchedChild_1,0,0,0,1,4,0,0,0,0,0
Agent_289678,BU03633502,19,female,Dutch,0,0,0,no_current_edu,middle,obese,0,2,1,1,0,1,3,Sched3_0,0,0,0,1,4,0,0,0,0,0
