agent_ID,neighb_code,age,sex,migrationbackground,hh_single,ischild,havechild,current_education,absolved_education,BMI,employed,edu_int,car_access,bike_habit,car_habit,transit_habit,incomeclass_int,SchedID,sex_male,Western,Non_Western,Dutch,HH_size,Nrchildren,student
Agent_775273,BU03639003,57,female,Western,0,0,0,no_current_edu,middle,obese,0,2,0,1,0,1,3,Sched51_43,0,1,0,0,2,0,0
Agent_111680,BU03631404,25,female,Non-Western,0,0,0,no_current_edu,middle,underweight,1,2,0,1,0,1,5,Sched81_30,0,0,1,0,2,0,0
Agent_463195,BU03635501,35,female,Dutch,1,0,0,no_current_edu,high,obese,0,3,0,1,0,0,1,Sched67_1,0,0,0,1,1,0,0
Agent_654959,BU03638100,31,male,Non-Western,1,0,0,no_current_edu,middle,normal_weight,1,2,0,1,1,0,5,Sched89_7,1,0,1,0,1,0,0
Agent_237960,BU03633001,72,male,Non-Western,1,0,0,no_current_edu,middle,moderate_overweight,0,2,0,1,0,0,1,Sched43_67,1,0,1,0,1,0,0
Agent_198508,BU03632601,29,female,Dutch,1,0,0,no_current_edu,high,normal_weight,1,3,0,1,1,0,8,Sched81_29,0,0,0,1,1,0,0
Agent_459069,BU03635402,63,female,Dutch,0,0,0,no_current_edu,high,normal_weight,0,3,1,1,0,0,1,Sched51_91,0,0,0,1,2,0,0
Agent_851982,BU03639602,11,female,Western,0,1,0,low,0,normal_weight,0,1,1,0,0,0,1,Sched18_39,0,1,0,0,3,0,0
Agent_379900,BU03634404,53,male,Western,0,0,0,no_current_edu,low,normal_weight,1,1,1,1,0,1,7,Sched57_148,1,1,0,0,4,0,0
Agent_408664,BU03634803,31,female,Dutch,0,0,0,no_current_edu,middle,normal_weight,0,2,0,1,0,0,3,Sched83_2,0,0,0,1,3,0,0
Agent_414383,BU03634805,54,female,Western,0,0,0,no_current_edu,high,moderate_overweight,1,3,1,1,1,0,7,Sched49_9,0,1,0,0,3,0,0
Agent_251917,BU03633200,15,female,Western,0,1,0,no_current_edu,low,normal_weight,1,1,0,1,0,1,8,Sched17_119,0,1,0,0,2,0,0
Agent_594423,BU03637307,21,female,Dutch,0,0,1,high,middle,normal_weight,1,2,1,1,0,1,9,Sched4_4,0,0,0,1,3,1,1
Agent_177033,BU03632404,21,male,Non-Western,0,0,0,no_current_edu,low,normal_weight,1,1,1,1,1,1,10,Sched9_1,1,0,1,0,4,0,0
Agent_333314,BU03633903,1,female,Non-Western,0,1,0,no_current_edu,0,0,0,1,0,0,0,0,1,SchedBaby_0,0,0,1,0,4,0,0
Agent_276483,BU03633306,40,female,Dutch,0,0,1,no_current_edu,high,normal_weight,1,3,0,1,0,1,9,Sched69_54,0,0,0,1,5,3,0
Agent_455768,BU03635401,34,female,Dutch,1,0,0,no_current_edu,high,moderate_overweight,0,3,0,1,0,1,3,Sched83_0,0,0,0,1,1,0,0
Agent_491002,BU03635700,45,male,Dutch,0,0,0,no_current_edu,middle,normal_weight,1,2,1,1,1,0,9,Sched57_11,1,0,0,1,2,0,0
Agent_461284,BU03635403,80,female,Dutch,1,0,0,no_current_edu,low,normal_weight,1,1,0,1,0,0,9,Sched33_1,0,0,0,1,1,0,0
Agent_281924,BU03633405,16,female,Dutch,0,1,0,middle,low,normal_weight,1,1,0,1,0,1,7,Sched16_72,0,0,0,1,2,0,0
Agent_230207,BU03633000,31,female,Dutch,1,0,0,no_current_edu,high,normal_weight,1,3,0,1,0,1,2,Sched81_2,0,0,0,1,1,0,0
Agent_282828,BU03633405,35,male,Non-Western,0,0,1,no_current_edu,middle,normal_weight,1,2,1,1,0,0,3,Sched77_28,1,0,1,0,3,1,0
Agent_231765,BU03633000,59,female,Dutch,0,0,0,no_current_edu,high,normal_weight,1,3,0,1,0,1,5,Sched49_105,0,0,0,1,3,0,0
Agent_339317,BU03634001,23,male,Dutch,1,0,0,high,high,underweight,1,3,0,1,0,1,10,Sched8_1,1,0,0,1,1,0,1
Agent_405278,BU03634801,76,female,Dutch,0,0,0,no_current_edu,middle,obese,1,2,1,1,1,0,5,Sched33_0,0,0,0,1,2,0,0
Agent_693304,BU03638400,55,female,Dutch,0,0,1,no_current_edu,middle,normal_weight,1,2,1,0,1,0,5,Sched53_39,0,0,0,1,3,2,0
Agent_756913,BU03638901,4,female,Non-Western,0,1,0,no_current_edu,0,normal_weight,0,1,0,1,0,0,1,SchedChild_1,0,0,1,0,4,0,0
Agent_537056,BU03636602,54,male,Non-Western,1,0,0,no_current_edu,low,normal_weight,1,1,0,1,0,1,8,Sched57_149,1,0,1,0,1,0,0
Agent_57028,BU03630611,34,female,Dutch,0,0,1,no_current_edu,high,moderate_overweight,1,3,0,1,0,0,7,Sched85_20,0,0,0,1,2,1,0
Agent_778427,BU03639100,84,female,Dutch,0,0,0,no_current_edu,middle,normal_weight,1,2,1,1,1,0,5,Sched33_2,0,0,0,1,4,0,0
Agent_235843,BU03633001,29,female,Dutch,0,0,1,no_current_edu,high,normal_weight,0,3,0,1,0,1,3,Sched87_16,0,0,0,1,3,1,0
Agent_214157,BU03632802,32,male,Non-Western,0,0,0,no_current_edu,low,normal_weight,1,1,0,1,1,0,7,Sched89_20,1,0,1,0,2,0,0
Agent_712615,BU03638502,62,female,Non-Western,0,0,1,no_current_edu,middle,normal_weight,0,2,1,0,0,0,3,Sched55_8,0,0,1,0,3,1,0
Agent_687669,BU03638300,33,male,Western,0,0,1,no_current_edu,high,normal_weight,1,3,0,1,0,1,3,Sched93_2,1,1,0,0,3,1,0
Agent_131756,BU03631800,5,male,Dutch,0,1,0,no_current_edu,0,normal_weight,0,1,0,1,0,0,1,SchedChild_0,1,0,0,1,4,0,0
Agent_329041,BU03633901,26,male,Non-Western,1,0,0,no_current_edu,high,moderate_overweight,1,3,0,1,0,1,6,Sched89_19,1,0,1,0,1,0,0
Agent_704551,BU03638402,56,female,Non-Western,0,0,1,no_current_edu,middle,moderate_overweight,1,2,1,1,1,0,10,Sched53_10,0,0,1,0,3,1,0
Agent_740855,BU03638804,2,male,Non-Western,0,1,0,no_current_edu,0,0,0,1,1,1,0,1,2,SchedBaby_1,1,0,1,0,2,0,0
