agent_ID,neighb_code,age,sex,migrationbackground,hh_single,ischild,havechild,current_education,absolved_education,BMI,employed,edu_int,car_access,bike_habit,car_habit,transit_habit,incomeclass_int,SchedID,sex_male,Western,Non_Western,Dutch,HH_size,Nrchildren,student,EV_access2020,EV_access2025,EV_access2030
Agent_297025,BU03633505,44,male,Dutch,0,0,1,no_current_edu,middle,moderate_overweight,1,2,1,0,1,0,7,Sched77_83,1,0,0,1,5,3,0,0,1,1
Agent_30559,BU03630500,8,male,Non-Western,0,1,0,low,0,moderate_overweight,0,1,1,1,0,1,1,SchedChild_1,1,0,1,0,4,0,0,0,0,0
Agent_404561,BU03634801,32,male,Western,1,0,0,no_current_edu,low,normal_weight,1,1,0,1,0,0,8,Sched89_45,1,1,0,0,1,0,0,0,0,0
Agent_258732,BU03633201,43,male,Non-Western,1,0,0,no_current_edu,middle,obese,0,2,0,1,0,1,1,Sched75_0,1,0,1,0,1,0,0,0,0,0
Agent_136446,BU03631801,27,female,Dutch,0,0,0,no_current_edu,high,normal_weight,1,3,0,1,0,1,7,Sched81_37,0,0,0,1,4,0,0,0,0,0
Agent_390725,BU03634700,38,female,Non-Western,0,0,1,no_current_edu,low,moderate_overweight,1,1,0,1,0,1,9,Sched69_41,0,0,1,0,2,1,0,0,0,0
Agent_569371,BU03636911,56,female,Non-Western,1,0,0,no_current_edu,high,moderate_overweight,1,3,0,0,0,1,6,Sched49_139,0,0,1,0,1,0,0,0,0,0
Agent_695488,BU03638401,2,male,Non-Western,0,1,0,no_current_edu,0,0,1,1,0,1,0,0,6,SchedBaby_0,1,0,1,0,4,0,0,0,0,0
Agent_476374,BU03635601,23,male,Dutch,0,0,0,high,high,moderate_overweight,1,3,1,1,0,1,1,Sched8_11,1,0,0,1,2,0,1,0,0,0
Agent_6263,BU03630103,51,male,Non-Western,1,0,0,no_current_edu,middle,obese,1,2,0,1,0,1,6,Sched57_62,1,0,1,0,1,0,0,0,0,0
Agent_147587,BU03632000,48,male,Dutch,0,0,1,no_current_edu,middle,normal_weight,1,2,1,1,1,0,10,Sched61_69,1,0,0,1,3,1,0,0,1,1
Agent_113790,BU03631405,26,male,Dutch,0,0,0,no_current_edu,high,normal_weight,1,3,1,1,0,1,3,Sched89_12,1,0,0,1,4,0,0,0,0,0
Agent_74839,BU03630901,41,male,Non-Western,1,0,0,no_current_edu,middle,normal_weight,1,2,0,1,0,1,3,Sched73_14,1,0,1,0,1,0,0,0,0,0
Agent_70991,BU03630801,33,male,Western,1,0,0,no_current_edu,high,moderate_overweight,1,3,0,0,0,1,10,Sched89_40,1,1,0,0,1,0,0,0,0,0
Agent_54378,BU03630610,4,male,Dutch,0,1,0,no_current_edu,0,normal_weight,0,1,1,1,0,0,1,SchedChild_0,1,0,0,1,3,0,0,0,0,0
Agent_561138,BU03636805,46,male,Non-Western,1,0,0,no_current_edu,low,moderate_overweight,1,1,1,0,1,0,3,Sched57_55,1,0,1,0,1,0,0,0,0,1
Agent_215616,BU03632802,74,male,Western,0,0,1,no_current_edu,middle,obese,1,2,1,1,1,0,2,Sched45_2,1,1,0,0,3,1,0,0,0,1
Agent_134813,BU03631801,23,female,Western,1,0,0,no_current_edu,high,obese,1,3,0,1,1,1,10,Sched1_1,0,1,0,0,1,0,0,0,0,0
Agent_281749,BU03633405,17,female,Western,0,1,0,no_current_edu,low,normal_weight,1,1,0,1,0,1,2,Sched17_42,0,1,0,0,3,0,0,0,0,0
Agent_762943,BU03638902,71,male,Dutch,0,0,1,no_current_edu,low,moderate_overweight,1,1,0,0,0,1,8,Sched45_0,1,0,0,1,2,1,0,0,0,0
Agent_707304,BU03638500,50,female,Non-Western,0,0,0,no_current_edu,low,moderate_overweight,1,1,0,1,0,0,5,Sched49_124,0,0,1,0,4,0,0,0,0,0
Agent_209185,BU03632800,35,male,Non-Western,1,0,0,no_current_edu,high,obese,1,3,0,1,0,0,10,Sched73_14,1,0,1,0,1,0,0,0,0,0
Agent_831526,BU03639409,33,female,Dutch,1,0,0,no_current_edu,middle,underweight,1,2,0,1,0,1,5,Sched81_26,0,0,0,1,1,0,0,0,0,0
Agent_652291,BU03638002,48,female,Dutch,0,0,1,no_current_edu,middle,normal_weight,1,2,1,1,1,0,4,Sched53_41,0,0,0,1,2,1,0,0,1,1
Agent_534843,BU03636503,34,female,Non-Western,0,0,1,no_current_edu,middle,moderate_overweight,1,2,1,1,1,0,6,Sched85_9,0,0,1,0,6,4,0,0,0,1
Agent_178337,BU03632404,26,male,Non-Western,0,0,0,high,high,moderate_overweight,1,3,1,1,1,1,10,Sched88_14,1,0,1,0,2,0,1,0,0,0
Agent_39805,BU03630506,77,female,Non-Western,1,0,0,no_current_edu,low,moderate_overweight,0,1,0,0,0,0,1,Sched35_2,0,0,1,0,1,0,0,0,0,0
Agent_831755,BU03639409,44,female,Dutch,0,0,0,no_current_edu,middle,normal_weight,1,2,0,1,0,0,7,Sched65_16,0,0,0,1,3,0,0,0,0,0
Agent_77747,BU03630902,51,male,Non-Western,0,0,0,no_current_edu,middle,normal_weight,1,2,1,1,0,1,10,Sched57_50,1,0,1,0,2,0,0,0,0,0
Agent_235766,BU03633001,39,male,Non-Western,1,0,0,no_current_edu,middle,normal_weight,1,2,0,0,0,0,2,Sched73_5,1,0,1,0,1,0,0,0,0,0
Agent_408479,BU03634803,16,male,Non-Western,0,1,0,low,low,moderate_overweight,1,1,1,0,0,0,7,Sched24_125,1,0,1,0,4,0,0,0,0,0
Agent_234829,BU03633001,29,male,Non-Western,1,0,0,no_current_edu,high,moderate_overweight,1,3,1,1,1,1,3,Sched89_25,1,0,1,0,1,0,0,0,0,1
Agent_835368,BU03639410,61,female,Non-Western,1,0,0,no_current_edu,low,normal_weight,1,1,0,0,0,0,1,Sched49_55,0,0,1,0,1,0,0,0,0,0
Agent_255651,BU03633200,60,male,Non-Western,0,0,1,no_current_edu,middle,moderate_overweight,1,2,1,1,1,1,6,Sched61_69,1,0,1,0,2,1,0,0,0,1
Agent_676115,BU03638202,21,female,Non-Western,0,0,1,no_current_edu,middle,normal_weight,1,2,1,1,0,1,6,Sched5_3,0,0,1,0,2,1,0,0,0,1
Agent_827297,BU03639406,46,female,Non-Western,0,0,1,no_current_edu,low,moderate_overweight,1,1,1,1,1,1,4,Sched53_22,0,0,1,0,4,3,0,0,0,1
Agent_395938,BU03634703,29,male,Western,1,0,0,no_current_edu,high,moderate_overweight,1,3,0,0,0,1,10,Sched89_0,1,1,0,0,1,0,0,0,0,0
Agent_873174,BU03639703,45,female,Non-Western,0,0,0,no_current_edu,low,normal_weight,1,1,1,0,1,0,8,Sched49_120,0,0,1,0,4,0,0,0,0,0
Agent_310156,BU03633703,25,male,Non-Western,0,0,0,no_current_edu,high,obese,1,3,0,0,1,0,5,Sched89_48,1,0,1,0,3,0,0,0,0,0
Agent_22906,BU03630402,67,male,Dutch,0,0,0,no_current_edu,high,normal_weight,1,3,1,1,1,0,10,Sched41_6,1,0,0,1,3,0,0,0,0,0
Agent_230115,BU03633000,23,male,Dutch,0,0,0,high,high,underweight,1,3,0,1,0,1,1,Sched8_4,1,0,0,1,2,0,1,0,0,0
Agent_269797,BU03633303,59,female,Western,0,0,0,no_current_edu,high,moderate_overweight,0,3,1,0,0,0,3,Sched51_81,0,1,0,0,3,0,0,0,0,0
Agent_179175,BU03632404,31,female,Western,0,0,0,no_current_edu,low,normal_weight,1,1,0,1,0,1,3,Sched81_13,0,1,0,0,3,0,0,0,0,0
Agent_375543,BU03634402,35,female,Western,1,0,0,no_current_edu,high,moderate_overweight,1,3,0,1,0,0,10,Sched65_6,0,1,0,0,1,0,0,0,0,0
Agent_235165,BU03633001,35,female,Non-Western,0,0,1,no_current_edu,middle,normal_weight,1,2,0,0,0,1,6,Sched69_32,0,0,1,0,4,2,0,0,0,0
Agent_122375,BU03631601,13,male,Dutch,0,1,0,low,0,moderate_overweight,0,1,1,1,0,0,1,Sched26_14,1,0,0,1,3,0,0,0,0,0
Agent_653739,BU03638100,22,female,Non-Western,0,0,0,middle,low,moderate_overweight,1,1,0,1,0,1,5,Sched0_23,0,0,1,0,2,0,0,0,0,0
Agent_381840,BU03634500,30,female,Dutch,0,0,1,no_current_edu,middle,obese,1,2,0,1,0,1,9,Sched85_27,0,0,0,1,2,1,0,0,0,0
Agent_432516,BU03635200,20,female,Western,1,0,0,no_current_edu,low,normal_weight,1,1,0,1,0,0,5,Sched1_6,0,1,0,0,1,0,0,0,0,0
Agent_563408,BU03636909,42,female,Dutch,0,0,1,no_current_edu,low,normal_weight,0,1,0,1,0,0,1,Sched71_19,0,0,0,1,4,2,0,0,0,0
Agent_214661,BU03632802,46,female,Dutch,1,0,0,no_current_edu,high,obese,1,3,1,1,0,0,9,Sched49_92,0,0,0,1,1,0,0,0,1,1
Agent_3916,BU03630004,24,male,Non-Western,0,0,1,no_current_edu,high,obese,1,3,1,1,0,0,7,Sched13_4,1,0,1,0,3,1,0,0,1,1
Agent_168850,BU03632400,49,female,Dutch,1,0,0,no_current_edu,middle,normal_weight,1,2,0,1,0,1,9,Sched49_83,0,0,0,1,1,0,0,0,0,0
Agent_132963,BU03631800,30,male,Dutch,1,0,0,no_current_edu,middle,normal_weight,1,2,1,1,0,0,8,Sched89_41,1,0,0,1,1,0,0,0,0,1
Agent_443155,BU03635203,29,male,Western,0,0,0,no_current_edu,high,normal_weight,1,3,0,0,0,0,9,Sched89_9,1,1,0,0,3,0,0,0,0,0
