agent_ID,neighb_code,age,sex,migrationbackground,hh_single,ischild,havechild,current_education,absolved_education,BMI,employed,edu_int,car_access,bike_habit,car_habit,transit_habit,incomeclass_int,SchedID,sex_male,Western,Non_Western,Dutch,HH_size,Nrchildren,student
Agent_618883,BU03637701,29,female,Non-Western,0,0,0,no_current_edu,middle,obese,1,2,0,1,0,1,7,Sched81_6,0,0,1,0,3,0,0
Agent_735040,BU03638703,32,male,Western,0,0,1,no_current_edu,high,obese,1,3,1,1,1,1,10,Sched93_12,1,1,0,0,3,1,0
Agent_630977,BU03637705,54,female,Non-Western,0,0,1,no_current_edu,low,moderate_overweight,1,1,1,0,1,0,4,Sched53_23,0,0,1,0,2,1,0
Agent_722695,BU03638601,38,male,Non-Western,0,0,1,no_current_edu,low,obese,1,1,1,1,1,0,3,Sched77_18,1,0,1,0,3,1,0
Agent_212596,BU03632802,21,female,Western,0,0,1,high,middle,moderate_overweight,1,2,0,0,0,1,10,Sched4_5,0,1,0,0,2,1,1
Agent_247270,BU03633102,1,female,Non-Western,0,1,0,no_current_edu,0,0,0,1,0,1,0,0,1,SchedBaby_0,0,0,1,0,4,0,0
Agent_637630,BU03637801,86,male,Non-Western,0,0,1,no_current_edu,low,moderate_overweight,1,1,1,0,1,0,5,Sched45_0,1,0,1,0,2,1,0
Agent_133080,BU03631800,40,female,Non-Western,1,0,0,no_current_edu,low,moderate_overweight,1,1,0,0,0,1,8,Sched65_10,0,0,1,0,1,0,0
Agent_35713,BU03630502,55,female,Dutch,0,0,1,no_current_edu,low,normal_weight,1,1,0,1,0,0,9,Sched53_4,0,0,0,1,3,1,0
Agent_182700,BU03632500,30,female,Non-Western,0,0,0,no_current_edu,high,normal_weight,1,3,0,1,0,1,1,Sched81_26,0,0,1,0,3,0,0
Agent_175423,BU03632403,41,male,Dutch,1,0,0,no_current_edu,high,moderate_overweight,1,3,1,1,1,1,9,Sched73_10,1,0,0,1,1,0,0
Agent_160403,BU03632101,54,female,Dutch,0,0,1,no_current_edu,high,normal_weight,0,3,1,1,1,0,1,Sched55_7,0,0,0,1,3,1,0
Agent_379280,BU03634404,38,female,Western,0,0,0,no_current_edu,high,normal_weight,0,3,0,1,0,1,4,Sched67_0,0,1,0,0,3,0,0
Agent_273230,BU03633305,10,female,Western,0,1,0,low,0,normal_weight,0,1,0,1,0,0,1,Sched18_6,0,1,0,0,2,0,0
Agent_237956,BU03633001,72,female,Dutch,1,0,0,no_current_edu,high,moderate_overweight,1,3,0,1,0,0,4,Sched33_3,0,0,0,1,1,0,0
