agent_ID,neighb_code,age,sex,migrationbackground,hh_single,ischild,havechild,current_education,absolved_education,BMI,employed,edu_int,car_access,bike_habit,car_habit,transit_habit,incomeclass_int,SchedID,sex_male,Western,Non_Western,Dutch,HH_size,Nrchildren,student
Agent_38515,BU03630503,49,male,Western,0,0,1,no_current_edu,high,moderate_overweight,1,3,1,0,1,1,4,Sched61_63,1,1,0,0,4,2,0
Agent_82496,BU03630904,82,female,Dutch,1,0,0,no_current_edu,low,obese,1,1,0,1,0,0,2,Sched33_2,0,0,0,1,1,0,0
Agent_680510,BU03638203,23,female,Western,1,0,0,high,high,normal_weight,1,3,0,1,1,0,9,Sched0_0,0,1,0,0,1,0,1
Agent_160212,BU03632101,61,female,Dutch,1,0,0,no_current_edu,high,obese,1,3,0,1,0,0,9,Sched49_17,0,0,0,1,1,0,0
Agent_179996,BU03632404,55,male,Dutch,0,0,1,no_current_edu,low,normal_weight,1,1,1,1,1,1,8,Sched61_27,1,0,0,1,3,1,0
Agent_616114,BU03637700,28,male,Non-Western,0,0,1,no_current_edu,middle,obese,1,2,0,1,0,0,8,Sched93_2,1,0,1,0,3,1,0
Agent_451817,BU03635301,54,male,Non-Western,1,0,0,no_current_edu,low,normal_weight,1,1,0,1,0,1,3,Sched57_127,1,0,1,0,1,0,0
Agent_687124,BU03638300,34,female,Non-Western,0,0,0,no_current_edu,high,underweight,1,3,0,1,0,1,5,Sched81_48,0,0,1,0,4,0,0
Agent_276225,BU03633306,7,male,Non-Western,0,1,0,low,0,normal_weight,0,1,1,1,0,0,1,SchedChild_0,1,0,1,0,3,0,0
Agent_679615,BU03638203,6,female,Non-Western,0,1,0,low,0,normal_weight,0,1,1,1,0,0,1,SchedChild_0,0,0,1,0,2,0,0
Agent_49243,BU03630606,26,male,Western,0,0,0,no_current_edu,high,moderate_overweight,1,3,1,0,0,0,10,Sched89_19,1,1,0,0,2,0,0
Agent_162261,BU03632201,45,female,Western,0,0,0,no_current_edu,middle,obese,1,2,1,1,1,0,6,Sched49_68,0,1,0,0,2,0,0
Agent_643928,BU03637803,17,female,Non-Western,0,1,0,middle,low,normal_weight,1,1,1,1,0,1,6,Sched16_91,0,0,1,0,3,0,0
Agent_249275,BU03633102,42,male,Non-Western,1,0,0,no_current_edu,middle,moderate_overweight,1,2,0,1,0,0,9,Sched73_8,1,0,1,0,1,0,0
Agent_277859,BU03633307,44,male,Dutch,0,0,0,no_current_edu,middle,normal_weight,1,2,1,0,1,0,9,Sched73_26,1,0,0,1,3,0,0
Agent_674513,BU03638201,60,female,Western,1,0,0,no_current_edu,middle,normal_weight,1,2,1,1,1,0,1,Sched49_44,0,1,0,0,1,0,0
Agent_128205,BU03631700,25,female,Western,0,0,1,no_current_edu,high,normal_weight,1,3,0,1,0,1,9,Sched85_11,0,1,0,0,2,1,0
Agent_608888,BU03637600,50,female,Non-Western,0,0,0,no_current_edu,middle,moderate_overweight,1,2,0,0,0,1,8,Sched49_24,0,0,1,0,4,0,0
Agent_55983,BU03630610,56,male,Dutch,1,0,0,no_current_edu,middle,moderate_overweight,1,2,1,1,1,0,9,Sched57_21,1,0,0,1,1,0,0
Agent_385183,BU03634600,40,female,Dutch,0,0,1,no_current_edu,high,normal_weight,1,3,1,1,0,0,3,Sched69_56,0,0,0,1,3,2,0
Agent_211978,BU03632802,5,female,Non-Western,0,1,0,no_current_edu,0,moderate_overweight,1,1,0,1,0,0,9,SchedChild_0,0,0,1,0,4,0,0
Agent_37950,BU03630503,47,male,Dutch,1,0,0,no_current_edu,high,normal_weight,1,3,0,1,0,1,9,Sched57_18,1,0,0,1,1,0,0
Agent_661314,BU03638102,24,female,Dutch,1,0,0,no_current_edu,high,normal_weight,1,3,0,1,0,0,7,Sched1_7,0,0,0,1,1,0,0
Agent_688833,BU03638300,46,male,Non-Western,0,0,1,no_current_edu,low,normal_weight,0,1,0,1,0,1,2,Sched63_6,1,0,1,0,4,2,0
Agent_196184,BU03632600,63,male,Dutch,0,0,0,no_current_edu,middle,obese,1,2,1,1,1,0,8,Sched57_21,1,0,0,1,3,0,0
Agent_62473,BU03630704,27,male,Dutch,1,0,0,no_current_edu,low,moderate_overweight,1,1,1,1,0,0,5,Sched89_13,1,0,0,1,1,0,0
Agent_855434,BU03639603,31,female,Non-Western,0,0,0,no_current_edu,low,normal_weight,1,1,0,0,0,0,7,Sched81_16,0,0,1,0,4,0,0
Agent_584860,BU03637003,38,male,Non-Western,0,0,0,no_current_edu,middle,normal_weight,1,2,1,0,1,1,5,Sched73_15,1,0,1,0,2,0,0
Agent_479853,BU03635602,21,female,Western,0,0,1,no_current_edu,high,moderate_overweight,1,3,1,0,1,1,5,Sched5_1,0,1,0,0,2,1,0
Agent_645257,BU03637803,26,male,Non-Western,0,0,1,no_current_edu,low,moderate_overweight,1,1,0,1,1,1,9,Sched93_19,1,0,1,0,4,2,0
Agent_796705,BU03639302,32,female,Non-Western,1,0,0,no_current_edu,high,normal_weight,1,3,0,1,0,1,5,Sched81_47,0,0,1,0,1,0,0
Agent_627972,BU03637703,73,female,Non-Western,1,0,0,no_current_edu,middle,normal_weight,0,2,0,1,0,1,3,Sched35_108,0,0,1,0,1,0,0
Agent_193677,BU03632503,68,male,Dutch,0,0,1,no_current_edu,high,moderate_overweight,1,3,1,1,1,1,3,Sched45_0,1,0,0,1,2,1,0
Agent_373803,BU03634401,82,male,Dutch,0,0,1,no_current_edu,middle,normal_weight,0,2,0,1,0,0,2,Sched47_2,1,0,0,1,3,1,0
Agent_43262,BU03630602,28,female,Non-Western,1,0,0,no_current_edu,high,normal_weight,1,3,0,1,0,1,10,Sched81_18,0,0,1,0,1,0,0
Agent_853898,BU03639602,83,male,Western,1,0,0,no_current_edu,high,moderate_overweight,1,3,1,0,0,0,1,Sched41_9,1,1,0,0,1,0,0
Agent_193658,BU03632503,83,male,Dutch,0,0,0,no_current_edu,high,obese,1,3,1,1,1,1,4,Sched41_1,1,0,0,1,3,0,0
Agent_532252,BU03636502,53,male,Dutch,0,0,1,no_current_edu,middle,obese,1,2,1,1,1,0,5,Sched61_67,1,0,0,1,3,2,0
Agent_139702,BU03631900,30,male,Dutch,1,0,0,no_current_edu,middle,normal_weight,1,2,0,1,0,1,7,Sched89_11,1,0,0,1,1,0,0
Agent_867718,BU03639702,8,male,Dutch,0,1,0,low,0,moderate_overweight,1,1,1,1,0,0,10,SchedChild_1,1,0,0,1,3,0,0
Agent_89615,BU03631200,24,female,Dutch,1,0,0,no_current_edu,middle,normal_weight,0,2,0,0,1,1,3,Sched3_1,0,0,0,1,1,0,0
Agent_212265,BU03632802,3,female,Dutch,0,1,0,no_current_edu,0,0,0,1,0,1,0,0,3,SchedBaby_0,0,0,0,1,2,0,0
Agent_153038,BU03632100,10,male,Non-Western,0,1,0,low,0,moderate_overweight,1,1,0,1,0,0,1,Sched24_93,1,0,1,0,2,0,0
Agent_834088,BU03639410,21,male,Non-Western,0,0,0,high,middle,normal_weight,1,2,1,0,1,1,5,Sched8_12,1,0,1,0,4,0,1
Agent_250032,BU03633102,59,female,Dutch,0,0,1,no_current_edu,high,normal_weight,1,3,0,1,0,1,7,Sched53_3,0,0,0,1,3,1,0
Agent_322707,BU03633802,29,male,Dutch,1,0,0,no_current_edu,high,obese,1,3,1,1,1,1,5,Sched89_18,1,0,0,1,1,0,0
Agent_259147,BU03633201,58,female,Non-Western,0,0,0,no_current_edu,low,normal_weight,0,1,0,1,0,0,2,Sched51_12,0,0,1,0,2,0,0
Agent_592668,BU03637301,24,female,Dutch,0,0,0,no_current_edu,high,normal_weight,1,3,1,1,1,1,9,Sched1_0,0,0,0,1,2,0,0
Agent_329331,BU03633901,33,female,Western,0,0,1,no_current_edu,high,moderate_overweight,1,3,0,1,1,1,10,Sched85_17,0,1,0,0,3,1,0
Agent_801315,BU03639303,62,female,Non-Western,0,0,1,no_current_edu,high,normal_weight,1,3,1,0,1,0,2,Sched53_0,0,0,1,0,3,1,0
Agent_833360,BU03639409,83,male,Dutch,1,0,0,no_current_edu,middle,normal_weight,1,2,0,1,0,1,3,Sched41_5,1,0,0,1,1,0,0
Agent_180347,BU03632404,56,female,Western,0,0,0,no_current_edu,low,normal_weight,0,1,0,1,0,0,4,Sched51_76,0,1,0,0,4,0,0
Agent_287679,BU03633501,30,male,Dutch,0,0,1,no_current_edu,middle,underweight,1,2,1,0,1,0,5,Sched93_20,1,0,0,1,3,1,0
Agent_641599,BU03637802,57,male,Western,0,0,0,no_current_edu,high,obese,1,3,0,1,0,0,9,Sched57_61,1,1,0,0,2,0,0
