agent_ID,neighb_code,age,sex,migrationbackground,hh_single,ischild,havechild,current_education,absolved_education,BMI,employed,edu_int,car_access,bike_habit,car_habit,transit_habit,incomeclass_int,SchedID,sex_male,Western,Non_Western,Dutch,HH_size,Nrchildren,student
Agent_97540,BU03631302,59,male,Dutch,0,0,1,no_current_edu,high,normal_weight,1,3,0,1,0,0,6,Sched61_22,1,0,0,1,2,1,0
Agent_543629,BU03636606,26,male,Non-Western,0,0,0,high,high,normal_weight,1,3,0,1,0,0,9,Sched88_12,1,0,1,0,3,0,1
Agent_161837,BU03632201,25,male,Non-Western,0,0,0,no_current_edu,low,moderate_overweight,1,1,1,0,1,0,8,Sched89_13,1,0,1,0,2,0,0
Agent_519637,BU03636201,59,female,Dutch,1,0,0,no_current_edu,middle,obese,1,2,0,1,0,1,9,Sched49_114,0,0,0,1,1,0,0
Agent_245798,BU03633101,51,male,Dutch,1,0,0,no_current_edu,middle,moderate_overweight,1,2,0,1,0,0,7,Sched57_30,1,0,0,1,1,0,0
Agent_691428,BU03638400,14,male,Western,0,1,0,low,0,moderate_overweight,0,1,1,0,0,0,1,Sched26_74,1,1,0,0,4,0,0
Agent_852212,BU03639602,19,male,Dutch,0,0,0,middle,low,normal_weight,1,1,0,1,0,1,1,Sched8_10,1,0,0,1,2,0,0
Agent_192822,BU03632503,63,female,Dutch,0,0,0,no_current_edu,middle,moderate_overweight,1,2,0,1,0,0,7,Sched49_75,0,0,0,1,3,0,0
Agent_758971,BU03638901,36,male,Dutch,1,0,0,no_current_edu,middle,moderate_overweight,1,2,0,0,0,0,7,Sched73_22,1,0,0,1,1,0,0
Agent_784024,BU03639102,44,male,Dutch,0,0,0,no_current_edu,high,normal_weight,1,3,1,1,1,1,6,Sched73_15,1,0,0,1,4,0,0
Agent_575415,BU03637000,54,female,Non-Western,0,0,1,no_current_edu,middle,moderate_overweight,1,2,1,1,1,0,2,Sched53_14,0,0,1,0,5,3,0
Agent_659000,BU03638101,37,male,Non-Western,1,0,0,no_current_edu,middle,normal_weight,1,2,0,1,0,1,5,Sched73_15,1,0,1,0,1,0,0
Agent_798826,BU03639303,18,male,Non-Western,0,0,1,middle,low,normal_weight,1,1,0,1,0,1,1,Sched12_4,1,0,1,0,2,1,0
Agent_365471,BU03634300,56,male,Dutch,1,0,0,no_current_edu,middle,normal_weight,1,2,0,1,0,1,6,Sched57_6,1,0,0,1,1,0,0
Agent_858686,BU03639605,37,male,Non-Western,0,0,1,no_current_edu,low,normal_weight,1,1,1,1,1,1,8,Sched77_12,1,0,1,0,5,3,0
Agent_252311,BU03633200,15,male,Dutch,0,1,0,low,low,moderate_overweight,1,1,1,1,0,0,7,Sched24_15,1,0,0,1,2,0,0
Agent_228254,BU03632902,33,male,Dutch,0,0,0,no_current_edu,middle,moderate_overweight,1,2,1,0,1,0,7,Sched89_11,1,0,0,1,3,0,0
Agent_635802,BU03637801,12,female,Western,0,1,0,low,0,normal_weight,1,1,1,1,0,0,8,Sched16_24,0,1,0,0,4,0,0
Agent_269017,BU03633303,29,female,Dutch,0,0,0,no_current_edu,high,normal_weight,1,3,0,1,0,1,7,Sched81_10,0,0,0,1,4,0,0
Agent_490365,BU03635700,39,female,Dutch,0,0,1,no_current_edu,middle,normal_weight,1,2,0,1,0,0,1,Sched69_78,0,0,0,1,3,2,0
Agent_119154,BU03631600,23,female,Dutch,1,0,0,high,high,moderate_overweight,0,3,0,1,0,1,1,Sched2_19,0,0,0,1,1,0,1
Agent_231304,BU03633000,33,female,Dutch,0,0,0,no_current_edu,low,obese,1,1,0,1,0,0,6,Sched81_49,0,0,0,1,2,0,0
Agent_800688,BU03639303,54,female,Non-Western,0,0,1,no_current_edu,high,normal_weight,1,3,0,0,0,0,3,Sched53_36,0,0,1,0,2,1,0
Agent_734647,BU03638703,20,female,Western,1,0,0,no_current_edu,high,normal_weight,1,3,0,1,0,0,7,Sched1_10,0,1,0,0,1,0,0
Agent_154400,BU03632100,25,male,Dutch,0,0,0,no_current_edu,high,obese,1,3,1,0,1,0,8,Sched89_3,1,0,0,1,2,0,0
Agent_22214,BU03630402,23,male,Dutch,0,0,0,middle,low,underweight,1,1,1,1,0,0,8,Sched8_22,1,0,0,1,2,0,0
Agent_90396,BU03631200,25,male,Non-Western,1,0,0,high,high,normal_weight,1,3,1,1,1,0,1,Sched88_17,1,0,1,0,1,0,1
Agent_869299,BU03639702,45,male,Non-Western,0,0,1,no_current_edu,low,normal_weight,1,1,1,0,1,0,6,Sched61_53,1,0,1,0,3,1,0
Agent_439334,BU03635202,10,female,Dutch,0,1,0,low,0,moderate_overweight,1,1,0,1,0,1,10,Sched16_34,0,0,0,1,3,0,0
Agent_235752,BU03633001,41,male,Non-Western,0,0,0,no_current_edu,middle,obese,1,2,1,0,1,0,2,Sched73_18,1,0,1,0,2,0,0
Agent_646775,BU03637803,61,female,Dutch,0,0,1,no_current_edu,low,obese,1,1,1,0,0,1,2,Sched53_27,0,0,0,1,2,1,0
Agent_68383,BU03630800,41,female,Western,1,0,0,no_current_edu,middle,obese,1,2,0,1,1,1,7,Sched65_9,0,1,0,0,1,0,0
Agent_605580,BU03637600,2,female,Non-Western,0,1,0,no_current_edu,0,0,0,1,0,1,0,1,2,SchedBaby_0,0,0,1,0,4,0,0
