"month","Rain","Temperature","Winddirection","Windspeed"
1,1.50645161612903,6.39032265483871,209.741935483871,5.2903226516129
2,4.72068967586207,7.23103467586207,234.931034482759,7.82758624482759
3,1.62258067870968,7.01612909677419,170.741935483871,6.05161298064516
4,0.3,10.8233335333333,156.133333333333,3.85333337666667
5,0.441935493548387,13.0516130645161,153.354838709677,4.07096778064516
6,2.65666671333333,17.3333335333333,177.8,3.76333339333333
7,2.38064516451613,16.7419356774194,246.774193548387,4.24838718709677
8,2.56451612903226,20.8548388709677,193.064516129032,3.64516138387097
9,2.8666667,15.6100003,188.333333333333,3.46333338133333
10,3.83225814516129,11.5741936774194,181.58064516129,4.84516136774194
11,1.35000002,9.4166668,187.666666666667,4.31666667666667
12,4.34516133548387,5.68387108709677,186,4.46774198064516
